{'ISDCrossLinkMS_Psi_0.1_DSS': '0.47457317592', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0729770017036', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.4363338856', 'rmf_frame_index': 426, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.533773424191', 'GaussianEMRestraint_None': '202.029238798', 'rmf_file': 'output/rmfs//44.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '1.13603456989', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.143973594549', 'SimplifiedModel_Total_Score_None': '1740.40543759', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0210178818109', 'ISDCrossLinkMS_Data_Score_DSS': '253.863839769'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.488799109278', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0682036503362', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.1974656024', 'rmf_frame_index': 667, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.505667627281', 'GaussianEMRestraint_None': '210.195955946', 'rmf_file': 'output/rmfs//17.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '1.55110492528', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.124623759206', 'SimplifiedModel_Total_Score_None': '1744.18701874', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0192487463165', 'ISDCrossLinkMS_Data_Score_DSS': '258.564891415'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.486581701905', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.088188559322', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.428624609', 'rmf_frame_index': 140, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.567055084746', 'GaussianEMRestraint_None': '208.967762445', 'rmf_file': 'output/rmfs//42.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '0.00664265665022', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.16001059322', 'SimplifiedModel_Total_Score_None': '1751.25059624', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0289791210246', 'ISDCrossLinkMS_Data_Score_DSS': '255.014063384'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.476357357544', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0717597471022', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.2146032575', 'rmf_frame_index': 379, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.533789954338', 'GaussianEMRestraint_None': '207.517882207', 'rmf_file': 'output/rmfs//18.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '0.42760557237', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.141095890411', 'SimplifiedModel_Total_Score_None': '1754.00253481', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0315532889725', 'ISDCrossLinkMS_Data_Score_DSS': '269.560875671'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.489196745149', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0710263720599', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.2095238883', 'rmf_frame_index': 370, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.518923734854', 'GaussianEMRestraint_None': '206.151670485', 'rmf_file': 'output/rmfs//22.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '0.862846732937', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.140163934426', 'SimplifiedModel_Total_Score_None': '1748.41003926', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0295582860582', 'ISDCrossLinkMS_Data_Score_DSS': '247.004070273'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.483216856146', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0688767438516', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.1530152712', 'rmf_frame_index': 721, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.510556594276', 'GaussianEMRestraint_None': '201.812286326', 'rmf_file': 'output/rmfs//49.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '0.944962913468', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.132144398102', 'SimplifiedModel_Total_Score_None': '1741.47824272', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0303445362082', 'ISDCrossLinkMS_Data_Score_DSS': '255.472450653'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.487573084841', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0816591799675', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '9.99987139061', 'rmf_frame_index': 253, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.540189238268', 'GaussianEMRestraint_None': '204.651495645', 'rmf_file': 'output/rmfs//45.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '1.10519226399', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.153206537322', 'SimplifiedModel_Total_Score_None': '1753.24773198', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0227390535951', 'ISDCrossLinkMS_Data_Score_DSS': '262.058110733'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.489426597128', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.109483631455', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '9.59338992782', 'rmf_frame_index': 13, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.60199122511', 'GaussianEMRestraint_None': '213.290126139', 'rmf_file': 'output/rmfs//20.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '0.182543041962', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.21100236247', 'SimplifiedModel_Total_Score_None': '1752.43050669', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0292904547252', 'ISDCrossLinkMS_Data_Score_DSS': '260.629200441'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.486768630506', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0894308943089', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.3297927942', 'rmf_frame_index': 220, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.547046070461', 'GaussianEMRestraint_None': '210.02558011', 'rmf_file': 'output/rmfs//56.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '1.46499989702', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.160840108401', 'SimplifiedModel_Total_Score_None': '1753.55985853', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.031191075567', 'ISDCrossLinkMS_Data_Score_DSS': '259.771987686'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.488754173033', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0709368042473', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '10.4179813494', 'rmf_frame_index': 659, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.525980476109', 'GaussianEMRestraint_None': '210.486404834', 'rmf_file': 'output/rmfs//9.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '5.02509600175', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.141890734715', 'SimplifiedModel_Total_Score_None': '1748.69373254', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0272511702624', 'ISDCrossLinkMS_Data_Score_DSS': '248.832300952'}
{'ISDCrossLinkMS_Psi_0.1_DSS': '0.488835586446', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.0965508092332', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.01_DSS_293': '0.1', 'AVERAGE_RMSD': '54.5184359877', 'ISDCrossLinkMS_Sigma_1_DSS': '9.61761770216', 'rmf_frame_index': 89, 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.566781639692', 'GaussianEMRestraint_None': '202.150155534', 'rmf_file': 'output/rmfs//43.rmf3', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.1', 'SimplifiedModel_Linker_Score_None': '1.235190172', 'MonteCarlo_StepSize_Nuisances_ISDCrossLinkMS_Sigma_1_DSS_295': '0.5', 'MonteCarlo_Acceptance_Nuisances_ISDCrossLinkMS_Psi_0.1_DSS_294': '0.179410984346', 'SimplifiedModel_Total_Score_None': '1741.99198964', 'ISDCrossLinkMS_Psi_0.01_DSS': '0.0201666213207', 'ISDCrossLinkMS_Data_Score_DSS': '247.606054277'}
